fueltype,cartype,enginesize,price,status,brand
hybrid,hatchback,3.3508585544611957,111723,used,Ford
hybrid,pickup,4.814245069384812,69396,new,Toyota
diesel,hatchback,4.962677903514342,79481,new,Audi
hybrid,sedan,3.1425178598306154,52131,new,Ford
diesel,hatchback,3.3792907947150987,108520,used,Hyundai
diesel,pickup,2.831853704831051,22880,new,Toyota
petrol,suv,4.079349856656441,44017,new,Ford
diesel,pickup,4.430513554122191,119052,new,Honda
hybrid,hatchback,2.4697439587343086,65833,used,Hyundai
hybrid,coupe,4.542863814767736,33351,new,Bmw
hybrid,coupe,3.310846926565484,58442,new,Audi
diesel,hatchback,2.7354681883002376,41807,new,Audi
electric,pickup,3.3368965276879905,70155,new,Toyota
electric,suv,2.685359395500252,39771,used,Ford
electric,hatchback,3.3945591935505166,56929,used,Honda
electric,hatchback,3.584109550370033,110333,used,Honda
petrol,sedan,4.422154701527945,23648,used,Toyota
hybrid,suv,2.4811062015514342,95187,new,Honda
diesel,pickup,4.73847005,23209,new,Audi
diesel,hatchback,3.798646868952365,63019,used,Ford
petrol,suv,4.006551633757266,85174,used,Ford
petrol,coupe,3.718658968125522,115319,new,Ford
electric,coupe,3.5699385300982827,41258,new,Honda
hybrid,hatchback,3.364899148811025,20542,new,Audi
petrol,sedan,4.6091253981089775,93839,used,Ford
diesel,sedan,3.671367431818051,108835,new,Ford
diesel,pickup,3.3800194306016462,74331,new,Honda
petrol,pickup,2.5628103867103307,21344,new,Hyundai
hybrid,sedan,3.6369513714142063,67570,new,Hyundai
electric,coupe,4.968133930039301,56068,used,Hyundai
diesel,pickup,3.973710669346234,62405,new,Hyundai
diesel,hatchback,4.579645703204629,20670,new,Toyota
diesel,hatchback,3.5878921768735346,48321,used,Audi
petrol,sedan,4.911492131803543,119891,new,Hyundai
petrol,coupe,3.860317777655229,19808,used,Audi
diesel,suv,4.4671597420857845,111010,new,Bmw
electric,hatchback,4.150417907113388,69340,used,Honda
electric,suv,3.4613273024693405,76403,used,Honda
hybrid,pickup,2.446102584063888,113019,new,Toyota
electric,sedan,3.6741921566046702,37873,used,Bmw
hybrid,sedan,4.705042017,118362,used,Honda
petrol,pickup,4.261871920819589,44061,new,Ford
hybrid,sedan,4.884860497179984,51654,new,Ford
electric,coupe,4.879186350870977,62202,used,Ford
hybrid,pickup,4.041845802436376,78161,used,Toyota
diesel,pickup,3.944176519180574,48891,used,Hyundai
electric,hatchback,3.887748156265207,98276,new,Ford
hybrid,pickup,4.107971512,17237,used,Hyundai
diesel,hatchback,4.111875985542779,84993,used,Bmw
hybrid,pickup,2.854678648126645,83906,new,Hyundai
diesel,suv,3.465921354719495,71128,new,Toyota
hybrid,pickup,4.369651934013637,79409,used,Toyota
diesel,coupe,3.429011957067384,93506,new,Honda
hybrid,hatchback,3.402571016204316,109952,used,Hyundai
hybrid,suv,3.436305385276633,37930,used,Bmw
electric,hatchback,2.597999313716836,65069,used,Hyundai
petrol,pickup,2.9086355475850056,74029,new,Bmw
diesel,suv,3.5575038041225846,51194,used,Ford
electric,sedan,4.874188798983225,117255,used,Bmw
diesel,hatchback,3.871159029851882,68709,new,Hyundai
hybrid,coupe,4.733270139550619,77228,used,Bmw
petrol,suv,4.809774665900766,35442,new,Toyota
diesel,pickup,2.667493070653657,58658,new,Audi
diesel,suv,2.113351885,80681,new,Ford
hybrid,coupe,4.124557457,59976,used,Hyundai
diesel,hatchback,3.245261133276103,95853,used,Ford
electric,coupe,4.360311513104023,29355,used,Hyundai
diesel,sedan,4.422109949502081,31113,new,Ford
hybrid,hatchback,3.457275835451522,50593,used,Audi
electric,sedan,4.095854315186569,48430,new,Hyundai
petrol,suv,4.646492937168159,100622,new,Toyota
diesel,suv,4.656831167145219,106119,new,Toyota
petrol,hatchback,3.722508216323418,64555,new,Toyota
diesel,suv,3.5821758813621707,68080,new,Hyundai
diesel,coupe,4.672988462,45908,used,Ford
electric,sedan,4.220581322398429,70842,used,Hyundai
diesel,suv,4.683845776417414,89179,new,Bmw
diesel,pickup,2.380220007003689,90852,used,Audi
hybrid,pickup,4.291167637844632,116741,new,Toyota
petrol,suv,4.072491052190897,75678,new,Bmw
hybrid,suv,3.243957108139102,50733,new,Audi
hybrid,hatchback,3.3230982493945698,22305,used,Audi
petrol,coupe,2.5547416330889408,87230,used,Audi
hybrid,hatchback,4.043421431489259,99415,used,Bmw
electric,suv,3.1817140769492016,73002,new,Ford
petrol,pickup,3.051617592019027,111897,new,Honda
hybrid,sedan,3.5935465891065004,48275,used,Audi
hybrid,coupe,2.431651615333491,20594,new,Hyundai
